"Letališki potniški in blagovni promet glede na prihod/odhod letal ter redne/posebne prevoze po državah prihoda/odhoda letal, Ljubljana, Letališèe Jožeta Puènika, meseèno"

"MESEC";"PRIHOD/ODHOD LETAL";"DRŽAVA PRIHODA/ODHODA LETAL";"Potniki"
"2004M01";"Odhod letal";"Države prihoda/odhoda letal - SKUPAJ";27889
"2004M01";"Odhod letal";"Afganistan";0
"2004M01";"Odhod letal";"Albanija";433
"2004M01";"Odhod letal";"Alžirija";0
"2004M01";"Odhod letal";"Armenija";0
"2004M01";"Odhod letal";"Avstrija";2200
"2004M01";"Odhod letal";"Azerbajdžan";0
"2004M01";"Odhod letal";"Belgija";1141
"2004M01";"Odhod letal";"Belorusija";0
"2004M01";"Odhod letal";"Bolgarija";0
"2004M01";"Odhod letal";"Bosna in Hercegovina";939
"2004M01";"Odhod letal";"Ciper";0
"2004M01";"Odhod letal";"Èad";0
"2004M01";"Odhod letal";"Èeška republika";601
"2004M01";"Odhod letal";"Èrna Gora";0
"2004M01";"Odhod letal";"Danska";595
"2004M01";"Odhod letal";"Egipt";330
"2004M01";"Odhod letal";"Estonija";0
"2004M01";"Odhod letal";"Finska";0
"2004M01";"Odhod letal";"Francija";2513
"2004M01";"Odhod letal";"Gibraltar";0
"2004M01";"Odhod letal";"Grèija";29
"2004M01";"Odhod letal";"Gruzija";0
"2004M01";"Odhod letal";"Hrvaška";9
"2004M01";"Odhod letal";"Iran (Islamska republika)";0
"2004M01";"Odhod letal";"Irska";0
"2004M01";"Odhod letal";"Islandija";0
"2004M01";"Odhod letal";"Italija";15
"2004M01";"Odhod letal";"Izrael";0
"2004M01";"Odhod letal";"Japonska";0
"2004M01";"Odhod letal";"Jordanija";0
"2004M01";"Odhod letal";"Južna Afrika";0
"2004M01";"Odhod letal";"Kanada";0
"2004M01";"Odhod letal";"Katar";0
"2004M01";"Odhod letal";"Kazahstan";0
"2004M01";"Odhod letal";"Kirgizistan";0
"2004M01";"Odhod letal";"Kitajska (Ljudska republika)";0
"2004M01";"Odhod letal";"Kosovo";0
"2004M01";"Odhod letal";"Kuvajt";0
"2004M01";"Odhod letal";"Latvija";0
"2004M01";"Odhod letal";"Libanon";0
"2004M01";"Odhod letal";"Libijska Arabska Džamahirija";0
"2004M01";"Odhod letal";"Litva";0
"2004M01";"Odhod letal";"Luksemburg";22
"2004M01";"Odhod letal";"Madžarska";4
"2004M01";"Odhod letal";"Severna Makedonija";1425
"2004M01";"Odhod letal";"Malta";0
"2004M01";"Odhod letal";"Maroko";0
"2004M01";"Odhod letal";"Moldavija (Republika)";0
"2004M01";"Odhod letal";"Nemèija";6527
"2004M01";"Odhod letal";"Nigerija";0
"2004M01";"Odhod letal";"Nizozemska";423
"2004M01";"Odhod letal";"Norveška";0
"2004M01";"Odhod letal";"Oman";0
"2004M01";"Odhod letal";"Pakistan";0
"2004M01";"Odhod letal";"Poljska";0
"2004M01";"Odhod letal";"Portugalska";0
"2004M01";"Odhod letal";"Romunija";11
"2004M01";"Odhod letal";"Ruska federacija";1376
"2004M01";"Odhod letal";"Saudska Arabija";0
"2004M01";"Odhod letal";"Sirska Arabska Republika";0
"2004M01";"Odhod letal";"Slovaška";0
"2004M01";"Odhod letal";"Slovenija";7
"2004M01";"Odhod letal";"Somalija";0
"2004M01";"Odhod letal";"Srbija";0
"2004M01";"Odhod letal";"Srbija in Èrna Gora";2247
"2004M01";"Odhod letal";"Sudan";0
"2004M01";"Odhod letal";"Španija";169
"2004M01";"Odhod letal";"Švedska";0
"2004M01";"Odhod letal";"Švica";1872
"2004M01";"Odhod letal";"Tanzanija";0
"2004M01";"Odhod letal";"Tunizija";47
"2004M01";"Odhod letal";"Turèija";3174
"2004M01";"Odhod letal";"Turkmenistan";0
"2004M01";"Odhod letal";"Ukrajina";270
"2004M01";"Odhod letal";"Uzbekistan";0
"2004M01";"Odhod letal";"Združene države";0
"2004M01";"Odhod letal";"Združeni arabski emirati";0
"2004M01";"Odhod letal";"Združeno kraljestvo";1510
"2004M01";"Odhod letal";"Neznano";0
"2004M02";"Odhod letal";"Države prihoda/odhoda letal - SKUPAJ";27369
"2004M02";"Odhod letal";"Afganistan";0
"2004M02";"Odhod letal";"Albanija";263
"2004M02";"Odhod letal";"Alžirija";0
"2004M02";"Odhod letal";"Armenija";0
"2004M02";"Odhod letal";"Avstrija";2614
"2004M02";"Odhod letal";"Azerbajdžan";0
"2004M02";"Odhod letal";"Belgija";1029
"2004M02";"Odhod letal";"Belorusija";0
"2004M02";"Odhod letal";"Bolgarija";0
"2004M02";"Odhod letal";"Bosna in Hercegovina";806
"2004M02";"Odhod letal";"Ciper";0
"2004M02";"Odhod letal";"Èad";0
"2004M02";"Odhod letal";"Èeška republika";853
"2004M02";"Odhod letal";"Èrna Gora";0
"2004M02";"Odhod letal";"Danska";289
